stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
36,36,"Brant at Prospect",,  43.333991, -79.809738,,,0,,1
360,360,"Appleby at New",,  43.367396, -79.754026,,,0,,1
361,361,"North Service at Walkers",,  43.367862, -79.790639,,,0,,1
362,362,"New at Appleby",,  43.367519, -79.753536,,,0,,1
363,363,"Dillon at Mainway",,  43.368033, -79.799760,,,0,,1
365,365,"Walkers at North Service",,  43.368574, -79.790835,,,0,,1
367,367,"Cavendish at Ingersoll",,  43.368640, -79.834621,,,0,,1
368,368,"Walkers at North Service",,  43.368310, -79.790897,,,0,,1
37,37,"Brant at Prospect",,  43.334123, -79.810343,,,0,,1
372,372,"Dillon at Mainway",,  43.368514, -79.800208,,,0,,1
373,373,"North Service at Walkers",,  43.368349, -79.790352,,,0,,1
374,374,"Lansdown at Quebec",,  43.368537, -79.803588,,,0,,1
375,375,"Headon at Bristol",,  43.368651, -79.805602,,,0,,1
376,376,"Appleby at Appleby Village Plaza",,  43.368237, -79.754728,,,0,,1
378,378,"Longmoor at Turner",,  43.368383, -79.757103,,,0,,1
379,379,"Lakeshore at Hampton Heath",,  43.368506, -79.729232,,,0,,1
38,38,"New at Teen Tour Way",,  43.333982, -79.790186,,,0,,1
380,380,"Upper Middle at Headon Forest",,  43.369745, -79.816103,,,0,,1
381,381,"Fairview at Inverary",,  43.368885, -79.768129,,,0,,1
382,382,"Headon at Sir Ernest Macmillan P.S.",,  43.369324, -79.806578,,,0,,1
383,383,"Dillon at Hannibal",,  43.369346, -79.801543,,,0,,1
385,385,"Longmoor at Appleby",,  43.368942, -79.756300,,,0,,1
387,387,"Cavendish at Malcolm",,  43.369930, -79.843379,,,0,,1
388,388,"Fairview at Inverary",,  43.369248, -79.768004,,,0,,1
389,389,"Upper Middle at Headon Forest",,  43.369762, -79.816444,,,0,,1
39,39,"New at Seneca",,  43.333974, -79.789969,,,0,,1
391,391,"New at Timber",,  43.369194, -79.751360,,,0,,1
392,392,"Appleby at Longmoor",,  43.369234, -79.756429,,,0,,1
394,394,"Dillon at Lansdown",,  43.369861, -79.801996,,,0,,1
395,395,"Appleby at Pinedale",,  43.369431, -79.756323,,,0,,1
396,396,"New at Timber",,  43.369556, -79.751297,,,0,,1
398,398,"Cavendish at Melissa",,  43.370533, -79.840597,,,0,,1
399,399,"4281 Harvester",,  43.369913, -79.775842,,,0,,1
4,4,"Brant at Caroline",,  43.327664, -79.800785,,,0,,1
40,40,"Drury at Teen Tour Way",,  43.334783, -79.793498,,,0,,1
400,400,"Cavendish at Melissa",,  43.370746, -79.840498,,,0,,1
401,401,"4280 Harvester",,  43.370023, -79.775442,,,0,,1
402,402,"North Service at Champlain",,  43.370143, -79.784401,,,0,,1
403,403,"Pinedale at Timber",,  43.370902, -79.754085,,,0,,1
404,404,"North Service at Champlain",,  43.370338, -79.784417,,,0,,1
407,407,"Headon at Palmer",,  43.370642, -79.807778,,,0,,1
408,408,"Lakeshore at Burloak Waterfront Park",,  43.369872, -79.727249,,,0,,1
41,41,"Brant at Maplewood",,  43.335019, -79.811242,,,0,,1
412,412,"Headon at Palmer",,  43.370815, -79.808070,,,0,,1
413,413,"Lakeshore at Burloak Waterfront Park",,  43.369971, -79.727389,,,0,,1
416,416,"Headon Forest at Pinemeadow",,  43.371427, -79.822415,,,0,,1
418,418,"Cavendish at Cotswold",,  43.371653, -79.834960,,,0,,1
419,419,"Cavendish at Cotswold",,  43.371722, -79.834776,,,0,,1
421,421,"Pinedale at Appleby Village Plaza",,  43.369989, -79.755103,,,0,,1
422,422,"Cavendish at Coventry",,  43.372096, -79.837662,,,0,,1
423,423,"Walkers at Mainway",,  43.371486, -79.794958,,,0,,1
424,424,"New at Adams",,  43.370958, -79.749408,,,0,,1
425,425,"Headon Forest at Berryman",,  43.371825, -79.824367,,,0,,1
426,426,"Headon Forest at Berryman",,  43.371795, -79.824631,,,0,,1
429,429,"Cavendish at Coventry",,  43.372251, -79.837398,,,0,,1
431,431,"New at Adams",,  43.371424, -79.749231,,,0,,1
432,432,"Walkers at Mainway",,  43.371968, -79.796197,,,0,,1
433,433,"Lakeshore at Burloak",,  43.371301, -79.725488,,,0,,1
434,434,"Upper Middle at Deer Run",,  43.372302, -79.813338,,,0,,1
435,435,"Appleby at Sheraton",,  43.371738, -79.759506,,,0,,1
436,436,"Lakeshore at Burloak",,  43.371420, -79.725559,,,0,,1
437,437,"Fairview at Taylor",,  43.371824, -79.764256,,,0,,1
438,438,"Appleby at Bennett",,  43.371856, -79.760023,,,0,,1
439,439,"Fairview at Taylor",,  43.371976, -79.764442,,,0,,1
44,44,"Brant at Maplewood",,  43.335171, -79.811861,,,0,,1
440,440,"Upper Middle at Deer Run",,  43.372662, -79.813320,,,0,,1
441,441,"Headon Forest at Maderna",,  43.372880, -79.825964,,,0,,1
442,442,"Headon Forest at Maderna",,  43.372863, -79.826163,,,0,,1
444,444,"Coventry at Malcolm",,  43.373237, -79.838039,,,0,,1
446,446,"Coventry at Malcolm",,  43.373142, -79.837900,,,0,,1
447,447,"Burloak at Lakeshore",,  43.372479, -79.725596,,,0,,1
449,449,"Walkers at Blanshard",,  43.372973, -79.797158,,,0,,1
45,45,"Teen Tour Way at Central Library",,  43.334869, -79.790590,,,0,,1
450,450,"Walkers at Ketelbey",,  43.373057, -79.797657,,,0,,1
451,451,"Appleby at Fairview",,  43.372714, -79.761198,,,0,,1
452,452,"Burloak at Lakeshore",,  43.372347, -79.725184,,,0,,1
