fare_id,price,currency_type,payment_method,transfers,agency_id
90-90,4.40,CAD,1,,GO
98-89,10.90,CAD,1,,GO
89-98,10.90,CAD,1,,GO
97-89,12.10,CAD,1,,GO
89-97,12.10,CAD,1,,GO
96-89,11.25,CAD,1,,GO
89-96,11.25,CAD,1,,GO
95-89,10.30,CAD,1,,GO
89-95,10.30,CAD,1,,GO
94-89,9.60,CAD,1,,GO
89-94,9.60,CAD,1,,GO
93-89,8.80,CAD,1,,GO
89-93,8.80,CAD,1,,GO
92-89,5.30,CAD,1,,GO
89-92,5.30,CAD,1,,GO
91-89,5.50,CAD,1,,GO
89-91,5.50,CAD,1,,GO
90-89,4.40,CAD,1,,GO
89-90,4.40,CAD,1,,GO
89-89,4.40,CAD,1,,GO
98-88,14.25,CAD,1,,GO
88-98,14.25,CAD,1,,GO
97-88,9.00,CAD,1,,GO
88-97,9.00,CAD,1,,GO
96-88,6.30,CAD,1,,GO
88-96,6.30,CAD,1,,GO
95-88,5.10,CAD,1,,GO
88-95,5.10,CAD,1,,GO
94-88,4.40,CAD,1,,GO
88-94,4.40,CAD,1,,GO
93-88,4.40,CAD,1,,GO
88-93,4.40,CAD,1,,GO
92-88,5.65,CAD,1,,GO
88-92,5.65,CAD,1,,GO
91-88,6.85,CAD,1,,GO
88-91,6.85,CAD,1,,GO
90-88,10.85,CAD,1,,GO
88-90,10.85,CAD,1,,GO
89-88,10.90,CAD,1,,GO
88-89,10.90,CAD,1,,GO
88-88,4.40,CAD,1,,GO
98-86,12.00,CAD,1,,GO
86-98,12.00,CAD,1,,GO
97-86,12.10,CAD,1,,GO
86-97,12.10,CAD,1,,GO
96-86,11.25,CAD,1,,GO
86-96,11.25,CAD,1,,GO
95-86,10.40,CAD,1,,GO
86-95,10.40,CAD,1,,GO
94-86,8.75,CAD,1,,GO
86-94,8.75,CAD,1,,GO
93-86,5.30,CAD,1,,GO
86-93,5.30,CAD,1,,GO
92-86,4.40,CAD,1,,GO
86-92,4.40,CAD,1,,GO
91-86,4.40,CAD,1,,GO
86-91,4.40,CAD,1,,GO
90-86,11.15,CAD,1,,GO
86-90,11.15,CAD,1,,GO
89-86,5.65,CAD,1,,GO
86-89,5.65,CAD,1,,GO
88-86,7.25,CAD,1,,GO
86-88,7.25,CAD,1,,GO
86-86,4.40,CAD,1,,GO
98-85,23.10,CAD,1,,GO
85-98,23.10,CAD,1,,GO
97-85,27.10,CAD,1,,GO
85-97,27.10,CAD,1,,GO
96-85,26.15,CAD,1,,GO
85-96,26.15,CAD,1,,GO
95-85,25.55,CAD,1,,GO
85-95,25.55,CAD,1,,GO
94-85,24.95,CAD,1,,GO
85-94,24.95,CAD,1,,GO
93-85,24.20,CAD,1,,GO
85-93,24.20,CAD,1,,GO
92-85,23.40,CAD,1,,GO
85-92,23.40,CAD,1,,GO
91-85,22.65,CAD,1,,GO
85-91,22.65,CAD,1,,GO
90-85,22.50,CAD,1,,GO
85-90,22.50,CAD,1,,GO
89-85,22.45,CAD,1,,GO
85-89,22.45,CAD,1,,GO
88-85,25.55,CAD,1,,GO
85-88,25.55,CAD,1,,GO
86-85,23.30,CAD,1,,GO
85-86,23.30,CAD,1,,GO
85-85,4.40,CAD,1,,GO
98-84,25.50,CAD,1,,GO
84-98,25.50,CAD,1,,GO
97-84,29.35,CAD,1,,GO
84-97,29.35,CAD,1,,GO
96-84,28.50,CAD,1,,GO
84-96,28.50,CAD,1,,GO
95-84,27.90,CAD,1,,GO
84-95,27.90,CAD,1,,GO
94-84,27.40,CAD,1,,GO
84-94,27.40,CAD,1,,GO
93-84,26.60,CAD,1,,GO
84-93,26.60,CAD,1,,GO
92-84,25.75,CAD,1,,GO
84-92,25.75,CAD,1,,GO
91-84,25.10,CAD,1,,GO
84-91,25.10,CAD,1,,GO
90-84,25.65,CAD,1,,GO
84-90,25.65,CAD,1,,GO
89-84,25.65,CAD,1,,GO
84-89,25.65,CAD,1,,GO
88-84,28.70,CAD,1,,GO
84-88,28.70,CAD,1,,GO
86-84,26.45,CAD,1,,GO
84-86,26.45,CAD,1,,GO
85-84,19.50,CAD,1,,GO
84-85,19.50,CAD,1,,GO
84-84,4.40,CAD,1,,GO
98-83,23.40,CAD,1,,GO
83-98,23.40,CAD,1,,GO
97-83,27.20,CAD,1,,GO
83-97,27.20,CAD,1,,GO
96-83,26.35,CAD,1,,GO
83-96,26.35,CAD,1,,GO
95-83,25.75,CAD,1,,GO
83-95,25.75,CAD,1,,GO
94-83,25.15,CAD,1,,GO
83-94,25.15,CAD,1,,GO
93-83,24.45,CAD,1,,GO
83-93,24.45,CAD,1,,GO
92-83,23.65,CAD,1,,GO
83-92,23.65,CAD,1,,GO
91-83,22.90,CAD,1,,GO
83-91,22.90,CAD,1,,GO
90-83,23.55,CAD,1,,GO
83-90,23.55,CAD,1,,GO
89-83,23.55,CAD,1,,GO
83-89,23.55,CAD,1,,GO
