stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding
00657,Bayridge / Princess,44.26064,-76.58338,0
00656,Bayridge / Princess,44.26026,-76.58338,0
00658,Cedarwood / Pinewood,44.26245,-76.58239,0
00654,Cedarwood / Sprucewood,44.26186,-76.58024,0
00652,Cedarwood / Redwood,44.26221,-76.57788,0
00643,Cedarwood / Hickorywood,44.26493,-76.57731,0
S00693,Cedarwood / Cataraqui Woods,44.26696,-76.5783,0
00743,Birchwood / Peachwood,44.27016,-76.57842,0
00457,Birchwood / Sierra,44.27191,-76.57833,0
00075,Tivoli / Sierra,44.2727,-76.57689,0
00647,1245 Midland Ave.,44.26877,-76.57427,0
00854,Midland / Cataraqui Woods,44.26659,-76.57426,0
00648,Midland Gate Plaza,44.26333,-76.57423,0
00651,1043 Midland Av.,44.26038,-76.57417,0
00673,Liston / Lancaster,44.25275,-76.594,0
00663,Lancaster / Strand,44.25301,-76.59202,0
00664,Lancaster / Rowantree,44.25524,-76.58958,0
00665,Lancaster / Newhall,44.25653,-76.59175,0
00666,Limestone / Lancaster,44.25674,-76.59495,0
00758,Limestone / Woodbine,44.25839,-76.59508,0
00667,Holy Cross Secondary,44.25847,-76.59739,0
00668,Woodbine / Katharine,44.25826,-76.60034,0
00669,Woodbine / Mona,44.25804,-76.60308,0
00670,Mona / Palmerston,44.25602,-76.60478,0
00678,Mona / Humberside,44.255,-76.60663,0
00676,Mona / Lynwood,44.25323,-76.60467,0
00540,Mona / Woodside,44.25281,-76.60232,0
00531,761 Aylmer Cr.,44.24804,-76.61457,0
00530,723 Aylmer Cr.,44.24639,-76.61557,0
S00018,1385 Waverley Cr.,44.24398,-76.61657,0
00532,1347 Waverley Cr.,44.24546,-76.61384,0
00470,Waverley / Edwin,44.24663,-76.6111,0
00469,Prince Charles / Glen Cove,44.24697,-76.60934,0
00468,Prince Charles / High Gate Park,44.24727,-76.60481,0
00680,Hudson / Mona,44.24838,-76.6029,0
00682,1121 Hudson Dr.,44.24847,-76.59985,0
00091,Hudson / Downing,44.24863,-76.59703,0
00689,1055 Hudson Dr.,44.24717,-76.59415,0
00005,Hudson / Holgate,44.24493,-76.5926,0
00629,Hudson Park,44.24363,-76.58563,0
00627,917 Development Dr.,44.24102,-76.58479,0
00068,Development / Truedell,44.24072,-76.57976,0
00597,Development / McKay,44.24125,-76.5765,0
00608,Development / Justus,44.24159,-76.57217,0
00611,Development / Gardiners,44.24173,-76.56815,0
00035,Bath / McEwen,44.23767,-76.57433,0
00804,Frontenac Secondary,44.23783,-76.57728,0
00698,Bath / Vista,44.23735,-76.58415,0
00031,Coverdale / Stoneridge,44.23743,-76.59217,0
00030,Walden / Coverdale,44.2379,-76.59791,0
00027,1189 Acadia Dr.,44.23532,-76.59868,0
00026,Acadia / Sackville,44.23292,-76.59806,0
00011,1071 Acadia Dr.,44.23231,-76.59435,0
00405,717 Roosevelt Dr.,44.22964,-76.58854,0
00408,Roosevelt / Tanglewood,44.23188,-76.58851,0
00588,543 Roosevelt Dr.,44.23441,-76.58447,0
00590,425 Knightsbridge Rd.,44.23319,-76.57881,0
00592,419 Glen Castle Rd.,44.23176,-76.57901,0
00594,Glen Castle / Henderson,44.22827,-76.57957,0
00744,2485 Princess St.,44.2582,-76.56627,0
S02076,Princess / Centennial,44.25807,-76.55771,0
00041,Princess / Futures,44.25805,-76.55368,0
00397,Princess / Taylor-Kidd,44.25652,-76.54166,0
S00044,Princess / Parkway,44.25131,-76.53342,0
