direction_name,shape_id,route_id,wheelchair_accessible,service_id,block_id,trip_headsign,trip_id,direction_id
Westbound,100.0.2308895431_Timetable_-_2026-06,421,1,Weekday_merged_94434,a_401013_Timetable_-_2026-06,Oshawa Station,920__401013_Timetable_-_2026-06,1
Westbound,100.0.2308895431_Timetable_-_2026-06,421,1,Weekday_merged_94434,a_401038_Timetable_-_2026-06,Oshawa Station,921__401038_Timetable_-_2026-06,1
Westbound,100.0.2308895431_Timetable_-_2026-06,421,1,Weekday_merged_94434,a_401067_Timetable_-_2026-06,Oshawa Station,922__401067_Timetable_-_2026-06,1
Westbound,100.0.2308895431_Timetable_-_2026-06,421,1,Weekday_merged_94434,a_401063_Timetable_-_2026-06,Oshawa Station,923__401063_Timetable_-_2026-06,1
Westbound,100.0.2308895431_Timetable_-_2026-06,421,1,Weekday_merged_94434,a_401038_Timetable_-_2026-06,Oshawa Station,924__401038_Timetable_-_2026-06,1
Westbound,100.0.2308895435_Timetable_-_2026-06,421,1,Weekday_merged_94434,a_401067_Timetable_-_2026-06,A - Oshawa Station via Colonel Sam,925__401067_Timetable_-_2026-06,1
Westbound,100.0.2308895435_Timetable_-_2026-06,421,1,Weekday_merged_94434,a_401063_Timetable_-_2026-06,A - Oshawa Station via Colonel Sam,926__401063_Timetable_-_2026-06,1
Westbound,100.0.2308895435_Timetable_-_2026-06,421,1,Weekday_merged_94434,a_401015_Timetable_-_2026-06,A - Oshawa Station via Colonel Sam,927__401015_Timetable_-_2026-06,1
Westbound,100.0.2308895435_Timetable_-_2026-06,421,1,Weekday_merged_94434,a_401038_Timetable_-_2026-06,A - Oshawa Station via Colonel Sam,928__401038_Timetable_-_2026-06,1
Westbound,100.0.2308895435_Timetable_-_2026-06,421,1,Weekday_merged_94434,a_401067_Timetable_-_2026-06,A - Oshawa Station via Colonel Sam,929__401067_Timetable_-_2026-06,1
Northbound,100.0.1046829421_Timetable_-_2026-06,405,1,Weekday_merged_94434,a_401014_Timetable_-_2026-06,Delpark Homes Centre,92__401014_Timetable_-_2026-06,0
Westbound,100.0.2308895435_Timetable_-_2026-06,421,1,Weekday_merged_94434,a_401063_Timetable_-_2026-06,A - Oshawa Station via Colonel Sam,930__401063_Timetable_-_2026-06,1
Westbound,100.0.2308895435_Timetable_-_2026-06,421,1,Weekday_merged_94434,a_401015_Timetable_-_2026-06,A - Oshawa Station via Colonel Sam,931__401015_Timetable_-_2026-06,1
Westbound,100.0.2308895435_Timetable_-_2026-06,421,1,Weekday_merged_94434,a_401038_Timetable_-_2026-06,A - Oshawa Station via Colonel Sam,932__401038_Timetable_-_2026-06,1
Westbound,100.0.2308895435_Timetable_-_2026-06,421,1,Weekday_merged_94434,a_403001_Timetable_-_2026-06,A - Oshawa Station via Colonel Sam,933__403001_Timetable_-_2026-06,1
Westbound,100.0.2308895435_Timetable_-_2026-06,421,1,Weekday_merged_94434,a_401015_Timetable_-_2026-06,A - Oshawa Station via Colonel Sam,934__401015_Timetable_-_2026-06,1
Westbound,100.0.2308895435_Timetable_-_2026-06,421,1,Weekday_merged_94434,a_401038_Timetable_-_2026-06,A - Oshawa Station via Colonel Sam,935__401038_Timetable_-_2026-06,1
Westbound,100.0.2308895435_Timetable_-_2026-06,421,1,Weekday_merged_94434,a_403004_Timetable_-_2026-06,A - Oshawa Station via Colonel Sam,936__403004_Timetable_-_2026-06,1
Westbound,100.0.2308895435_Timetable_-_2026-06,421,1,Weekday_merged_94434,a_403001_Timetable_-_2026-06,A - Oshawa Station via Colonel Sam,937__403001_Timetable_-_2026-06,1
Westbound,100.0.2308895435_Timetable_-_2026-06,421,1,Weekday_merged_94434,a_401015_Timetable_-_2026-06,A - Oshawa Station via Colonel Sam,938__401015_Timetable_-_2026-06,1
Westbound,100.0.2308895435_Timetable_-_2026-06,421,1,Weekday_merged_94434,a_401038_Timetable_-_2026-06,A - Oshawa Station via Colonel Sam,939__401038_Timetable_-_2026-06,1
Southbound,100.0.1046829422_Timetable_-_2026-06,405,1,Weekday_merged_94434,a_401005_Timetable_-_2026-06,Oshawa Centre Terminal,93__401005_Timetable_-_2026-06,1
Westbound,100.0.2308895435_Timetable_-_2026-06,421,1,Weekday_merged_94434,a_403001_Timetable_-_2026-06,A - Oshawa Station via Colonel Sam,940__403001_Timetable_-_2026-06,1
Westbound,100.0.2308895435_Timetable_-_2026-06,421,1,Weekday_merged_94434,a_401015_Timetable_-_2026-06,A - Oshawa Station via Colonel Sam,941__401015_Timetable_-_2026-06,1
Westbound,100.0.2308895435_Timetable_-_2026-06,421,1,Weekday_merged_94434,a_401038_Timetable_-_2026-06,A - Oshawa Station via Colonel Sam,942__401038_Timetable_-_2026-06,1
Westbound,100.0.2308895435_Timetable_-_2026-06,421,1,Weekday_merged_94434,a_403001_Timetable_-_2026-06,A - Oshawa Station via Colonel Sam,943__403001_Timetable_-_2026-06,1
Westbound,100.0.2308895435_Timetable_-_2026-06,421,1,Weekday_merged_94434,a_401015_Timetable_-_2026-06,A - Oshawa Station via Colonel Sam,944__401015_Timetable_-_2026-06,1
Eastbound,100.0.2081289613_Timetable_-_2026-06,421,1,Weekday_merged_94434,a_401013_Timetable_-_2026-06,A - Trulls via Colonel Sam,945__401013_Timetable_-_2026-06,0
Eastbound,100.0.2081289613_Timetable_-_2026-06,421,1,Weekday_merged_94434,a_401038_Timetable_-_2026-06,A - Trulls via Colonel Sam,946__401038_Timetable_-_2026-06,0
