stop_lon,stop_timezone,stop_name,stop_id,parent_station,wheelchair_boarding,zone_id,stop_code,location_type,stop_url,preferred,stop_lat,stop_desc
-78.695321,,Scugog Southbound @ Jackman,1477,,1,,1477,0,,2,43.920873,
-78.69368299999998,,Scugog Southbound @ O'Dell,1478,,1,,1478,0,,2,43.916997,
-78.691688,,Church Eastbound @ Scugog Street,1479,,1,,1479,0,,2,43.913909,
-78.688545,,Church Eastbound @ Temperance,1480,,1,,1480,0,,1,43.913138,
-78.67758996,,Liberty Southbound @ Park,1494,,1,,1494,0,,2,43.90430979,
-78.675014,,Simpson Northbound @ King,1498,,1,,1498,0,,1,43.911329,
-78.678921,,Prince Eastbound @ Liberty (Lakeridge Health Bowmanville),1499,,1,,1499,0,,2,43.908346,
-78.943865,,Garden Northbound @ Willowbrook,15,,1,,15,0,,2,43.908512,
-78.70716,,Clarington Boulevard Southbound @ Prince William,1504,,1,,1504,0,,1,43.908456,
-78.943946,,Burns Eastbound @ Henry,151,,1,,151,0,,2,43.870396,
-79.145977,,Pine Grove Westbound @ Nordane,1519,,1,,1519,0,,2,43.825165,
-78.940651,,Burns Eastbound @ Centre,152,,1,,152,0,,2,43.871125,
-79.132569,,Strouds Lane Eastbound @ Autumn,1547,,1,,1547,0,,2,43.825601,
-79.130377,,Strouds Lane Eastbound @ Rosebank,1548,,1,,1548,0,,2,43.826216,
-79.126176,,Strouds Lane Northbound @ Fernam,1574,,1,,1574,0,,2,43.827652,
-79.124103,,Strouds Lane Eastbound @ Foxwood Trail,1575,,1,,1575,0,,2,43.828696,
-79.121337,,Strouds Lane Westbound @ Whites (West side stop),1586,,1,,1586,0,,2,43.829426,
-78.995249,,Kingston Westbound @ Audley,1587,,1,,1587,0,,2,43.868228,
-79.00077,,Kingston Westbound @ Alexanders Crossing,1588,,1,,1588,0,,2,43.86702,
-79.0125542,,Kingston Westbound @ Wicks,1590,,1,,1590,0,,2,43.8643554,
-79.0168413,,Kingston Westbound @ Salem,1591,,1,,1591,0,,1,43.8634084,
-79.022563,,Westbound @ 84 Kingston,1593,,1,,1593,0,,2,43.862111,
-79.0267418,,Kingston Westbound @ Harwood,1594,,1,,1594,0,,1,43.8611712,
-79.031718,,Westbound @ 132 Kingston,1595,,1,,1595,0,,2,43.859995,
-79.035043,,Kingston Westbound @ Chapman,1596,,1,,1596,0,,2,43.859254,
-79.03932,,Kingston Westbound @ Westney Heights Plaza,1597,,1,,1597,0,,2,43.85832,
-79.043041,,Kingston Westbound @ Westney,1598,,1,,1598,0,,1,43.85744,
-79.047905,,Kingston Westbound @ Mill,1599,,1,,1599,0,,2,43.856298,
-78.944674,,Garden Northbound @ Meadowglen,16,,1,,16,0,,2,43.91038600000001,
-79.05529,,Kingston Westbound @ Church,1600,,1,,1600,0,,1,43.85465700000001,
-79.060678,,Kingston Westbound @ Elizabeth,1601,,1,,1601,0,,2,43.853329,
-79.064752,,Kingston Westbound @ Notion,1602,,1,,1602,0,,2,43.852381,
-79.0710031,,Kingston Westbound @ Bainbridge,1603,,1,,1603,0,,2,43.8501483,
-79.07452499999998,,Kingston Westbound @ Brock Road,1604,,1,,1604,0,,1,43.84772,
-79.083084,,Kingston Westbound @ Valley Farm,1607,,1,,1607,0,,2,43.84172800000001,
-79.08748,,Kingston Westbound @ Glenanna,1608,,1,,1608,0,,1,43.83815,
-79.09104,,Kingston Westbound @ Liverpool,1609,,1,,1609,0,,1,43.83548,
-79.09672757,,Kingston Westbound @ Walnut,1610,,1,,1610,0,,2,43.83097019,
-79.098675,,Kingston Westbound @ Dixie,1611,,1,,1611,0,,1,43.82906,
-79.106421,,Kingston Westbound @ Fairport,1612,,1,,1612,0,,1,43.823716,
-79.111949,,Westbound @ 804 Kingston,1613,,1,,1613,0,,2,43.821703,
-79.118076,,Kingston Westbound @ Steeple Hill,1615,,1,,1615,0,,1,43.817215,
-79.123324,,Kingston Westbound @ Rosebank,1616,,1,,1616,0,,2,43.81332,
-79.129028,,Kingston Westbound @ Rougemount,1617,,1,,1617,0,,2,43.809718,
-79.105278,,West Shore Southbound @ Vistula,1645,,1,,1645,0,,2,43.82025,
-78.937411,,Brock Street Northbound @ Arthur,166,,1,,166,0,,2,43.86900700000001,
-79.104211,,West Shore Southbound @ Samford,1663,,1,,1663,0,,2,43.817692,
-78.93832,,Brock Street Northbound @ St Peter,167,,1,,167,0,,1,43.87108400000001,
-79.104031,,West Shore Northbound @ Samford,1674,,1,,1674,0,,2,43.817582,
-78.938948,,Brock Street Northbound @ Burns,168,,1,,168,0,,2,43.872514,
-79.103099,,Oklahoma Westbound @ West Shore,1685,,1,,1685,0,,2,43.813826,
-79.10671499999998,,Oklahoma Westbound @ Hillcrest,1687,,1,,1687,0,,2,43.813024,
-79.105446,,Bayly Eastbound @ West Shore,1689,,1,,1689,0,,2,43.821218,
-78.93940499999998,,Brock Street Northbound @ Trent,169,,1,,169,0,,2,43.873574,
-79.102195,,Bayly Eastbound @ 957 Bayly,1690,,1,,1690,0,,2,43.822764,
-79.092836,,Bayly Eastbound @ St Martins,1693,,1,,1693,0,,2,43.827085,
-79.08666599999998,,Bayly Eastbound @ Liverpool,1694,,1,,1694,0,,2,43.828787,
-79.08495872161193,,Bayly Eastbound @ Pickering Station,1695,,1,,1695,0,,2,43.82915733045823,
-78.946197,,Garden Northbound @ Cork,17,,1,,17,0,,2,43.91380800000001,
-78.9408107746133,,Brock Street Northbound @ Gilbert,170,,1,,170,0,,2,43.87664417732835,
-79.075833,,Alyssum Eastbound @ Lublin,1701,,1,,1701,0,,2,43.824092,
-79.072432,,Sandy Beach Southbound @ Parkham,1703,,1,,1703,0,,2,43.819293,
