stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
26450,3137,Williams Pky E opp Bramtree Crt,,43.746583,-79.717653,,,0,,,1
26460,3138,Williams Pky E w/of Torbram Rd,,43.743754,-79.720986,,,0,,,1
26470,3139,Williams Pky E opp Graymar Rd,,43.741309,-79.723139,,,0,,,1
26480,3140,Williams Pky E w/of Jordan Blvd,,43.738266,-79.725767,,,0,,,1
26490,3141,Williams Pky E at Chinguacousy S.S.,,43.73681,-79.727164,,,0,,,1
26500,3142,Williams Pky E w/of Bramalea Rd,,43.733798,-79.730629,,,0,,,1
26540,3143,Williams Pky E w/of Dixie Rd,,43.725109,-79.742811,,,0,,,1
26550,3144,Williams Pkwy w/of North Park Dr,,43.720079,-79.747206,,,0,,,1
26570,3146,Williams Pky at Southlake Blvd,,43.71433,-79.757434,,,0,,,1
26580,3147,Williams Pky e/of Rutherford Rd,,43.713802,-79.760693,,,0,,,1
26590,3148,Williams Pkwy btwn Rutherford Rd & Kennedy Rd,,43.711035,-79.763957,,,0,,,1
26600,3149,Williams Pky e/of Kennedy Rd,,43.708825,-79.766368,,,0,,,1
26605,3150,Williams Pkwy btwn Kennedy Rd & Centre St,,43.705705,-79.769824,,,0,,,1
26610,3151,Williams Pky E e/of Centre St N,,43.703704,-79.771997,,,0,,,1
26620,3152,Williams Pky E at Baronwood Crt,,43.701089,-79.774533,,,0,,,1
26630,3153,Williams Pky w/of Main St,,43.698572,-79.777822,,,0,,,1
26650,3154,Williams Pky W at Harridine Rd,,43.695907,-79.780289,,,0,,,1
26655,3155,Williams Pky W w/of Harridine Rd,,43.694443,-79.781009,,,0,,,1
26660,3156,Williams Pky W w/of Railway Crossing,,43.693015,-79.782304,,,0,,,1
26700,3157,Williams Pky W opp Oxtail Lane,,43.683161,-79.794712,,,0,,,1
26710,3158,Williams Pky W e/of Whitewash Way,,43.683474,-79.797026,,,0,,,1
26720,3159,Williams Pky W at Whitewash Way,,43.683306,-79.798986,,,0,,,1
26730,3160,Williams Pky W w/of Chinguacousy Rd,,43.681657,-79.80295,,,0,,,1
26735,3161,Williams Pky W btwn Whitewash Way & Chinguacousy,,43.682887,-79.800895,,,0,,,1
26790,3165,County Court South - Zum Main Station Stop NB,,43.659121,-79.723637,,,0,,,1
26800,3167,County Court North - Zum Main Station Stop NB,,43.662216,-79.727771,,,0,,,1
16090574,3168,Braidwood Lake Rd s/of Petworth Rd,,43.723164,-79.807395,,,0,,,0
16090575,3169,Kenpark Ave opp Burtree Dr (S),,43.743377,-79.805362,,,0,,,0
16090576,3170,Kenpark Ave n/of Burtree Dr (S),,43.743584,-79.805529,,,0,,,1
27000,3171,The Gore Rd opp Strathdale Rd,,43.784955,-79.680279,,,0,,,1
27010,3172,The Gore Rd n/of Castle Oaks Crossing,,43.787436,-79.68341,,,0,,,1
27200,3173,The Gore Rd s/of Strathdale Rd,,43.78436,-79.679903,,,0,,,1
16090577,3174,Mayfield Rd e/of Summer Valley Dr,,43.736682,-79.821945,,,0,,,1
16090578,3175,Cresthaven Rd w/of Tournament Dr,,43.725854,-79.819692,,,0,,,0
16090579,3176,Braidwood Lake Rd opp Shadywood Dr,,43.725932,-79.811181,,,0,,,0
16090580,3177,Braidwood Lake Rd n/of Petworth Rd,,43.72323,-79.807762,,,0,,,0
16103103,3179,Mississauga Rd s/of Financial Dr,,43.634201,-79.785501,,,0,,,1
40030,3182,Cottrelle Blvd w/of Redwillow Rd,,43.773078,-79.700656,,,0,,,1
40040,3183,Cottrelle Blvd w/of Valleycreek Dr,,43.772155,-79.704167,,,0,,,1
40050,3184,Cottrelle Blvd at Goreway Dr,,43.770263,-79.706897,,,0,,,1
40070,3186,Sandalwood Pky w/of Cedarcliff Trail,,43.766232,-79.746227,,,0,,,1
40080,3187,Sandalwood Pky E e/of Pine Landing Trail,,43.766351,-79.739954,,,0,,,1
40090,3188,Sandalwood Pky w/of Mountainash Rd,,43.766428,-79.737664,,,0,,,1
40100,3189,Sandalwood Pky E at Ice Fields Rd,,43.767848,-79.732816,,,0,,,1
40105,3190,Sandalwood Pky E at Airport Rd,,43.768314,-79.730953,,,0,,,1
40120,3191,Sandalwood Pky E at Revelstoke (w/of Airport Rd),,43.768236,-79.73205,,,0,,,1
40130,3192,Sandalwood Pky E at Hidden Peak Dr,,43.767956,-79.734008,,,0,,,1
40140,3193,Sandalwood Pky e/of Mountainash Rd,,43.766896,-79.737201,,,0,,,1
40150,3194,Sandalwood Pky E at Pine Landing Trail,,43.766633,-79.740268,,,0,,,1
40160,3195,Sandalwood Pky e/of Cedarcliff Trail,,43.766615,-79.74565,,,0,,,1
40170,3196,Sandalwood Pky e/of Torbram Rd,,43.765532,-79.74841,,,0,,,1
40180,3197,Sandalwood Pky E at Sugarcane Ave,,43.763379,-79.751163,,,0,,,1
40190,3198,Sandalwood Pky E at Chapparal Dr,,43.761766,-79.75242,,,0,,,1
40195,3199,Sandalwood Pky E at Blackcherry Lane,,43.759794,-79.753234,,,0,,,1
40200,3200,Sandalwood Pky E at Sunny Meadow Blvd,,43.757672,-79.754481,,,0,,,1
40210,3201,Sandalwood Pky e/of Queen Mary Dr,,43.704817,-79.81467,,,0,,,1
40220,3202,Sandalwood Pky W btwn Queen Mary Dr & Edenbrook H,,43.701003,-79.818505,,,0,,,1
40230,3203,Sandalwood Pky e/of Edenbrook Hill Dr,,43.699551,-79.819789,,,0,,,1
40240,3204,Sandalwood Pky w/of Chinguacousy Rd,,43.696377,-79.82374,,,0,,,1
40250,3205,Sandalwood Pky W at St. Edmund Campion,,43.694344,-79.829138,,,0,,,1
40260,3206,Sandalwood Pky W at Fidelity Ave,,43.69513,-79.827455,,,0,,,1
40270,3207,Sandalwood Pky W at Virtues Ave,,43.69553,-79.825599,,,0,,,0
40280,3208,E Sandalwood Pky at Chinguacousy Rd,,43.696364,-79.823132,,,0,,,1
40290,3209,Sandalwood Pky w/of Edenbrook Hill Dr,,43.698938,-79.820072,,,0,,,1
40300,3210,Sandalwood Pky W btwn Sheepberry Tr & Queen Mary,,43.70056,-79.818455,,,0,,,1
40330,3213,Brisdale Dr s/of Sugarhill Dr,,43.700057,-79.836894,,,0,,,1
40340,3214,Brisdale Dr n/of Sugarhill Dr,,43.70011,-79.836754,,,0,,,1
40350,3215,Brisdale at Jessop Dr,,43.697455,-79.835363,,,0,,,1
40360,3216,Brisdale Dr opp Jessop Dr (at Buick Blvd),,43.697571,-79.83577,,,0,,,1
40370,3217,Queen Mary Dr at Earlsbridge Blvd,,43.710997,-79.823998,,,0,,,1
40380,3218,Queen Mary Dr at Kanata Rd,,43.709219,-79.821373,,,0,,,1
40390,3219,Queen Mary Dr opp Echoridge Dr,,43.707713,-79.819311,,,0,,,1
40400,3220,Queen Mary Dr at Sandalwood Pky W,,43.704463,-79.815204,,,0,,,0
40410,3221,Van Scott Dr at Wandering Trail Dr,,43.714895,-79.819965,,,0,,,1
40420,3222,Van Scott Dr at Brambirch Cres,,43.714638,-79.820021,,,0,,,1
40440,3224,Earlsbridge Blvd at McLaughlin Rd N,,43.713328,-79.821774,,,0,,,1
40450,3225,Earlsbridge Blvd at Queen Mary Dr,,43.711266,-79.823506,,,0,,,1
40460,3227,Earlsbridge Blvd e/of Queen Mary Dr,,43.7113,-79.823312,,,0,,,1
40470,3228,Earlsbridge Blvd at Lockburn Cres,,43.708261,-79.823617,,,0,,,1
40480,3229,Earlsbridge Blvd at Clarion Rd,,43.70763,-79.824231,,,0,,,1
40490,3230,Earlsbridge Blvd e/of Cipriano Crt,,43.706848,-79.824856,,,0,,,1
40510,3232,Earlsbridge Blvd e/of Edenbrook Hill Dr,,43.705878,-79.82593,,,0,,,1
40520,3233,Earlsbridge Blvd at Florence Dr,,43.702985,-79.82785,,,0,,,0
40555,3237,Creditview Rd s/of Sandalwood Pky,,43.688405,-79.835217,,,0,,,1
40560,3238,Creditview Rd s/of McCrimmon Dr,,43.6855,-79.831299,,,0,,,1
40610,3243,Creditview Rd n/of McCrimmon Dr,,43.686224,-79.831841,,,0,,,1
40620,3244,Creditview Rd n/of Sandalwood Pkwy,,43.689247,-79.835926,,,0,,,1
40630,3245,Creditview Rd n/of El Camino Way,,43.691342,-79.838788,,,0,,,1
40660,3248,Ray Lawson Blvd at Mavis Rd,,43.642686,-79.746519,,,0,,,1
40670,3249,Clementine Dr w/of Mavis Rd,,43.64298,-79.750636,,,0,,,0
40680,3250,Clementine Dr n/of Nathaniel Cres,,43.642072,-79.7528,,,0,,,1
40690,3251,Clementine Dr at Maddybeth Cres,,43.642962,-79.754847,,,0,,,1
40700,3252,Clementine Dr at Steeles Ave W,,43.644175,-79.756742,,,0,,,1
40710,3253,Mavis Rd s/of Clementine Dr,,43.6431,-79.749606,,,0,,,1
40715,3254,Ray Lawson Blvd e/of Mavis Rd,,43.642545,-79.746301,,,0,,,1
40720,3255,McLaughlin Rd s/of Kingknoll Dr,,43.653569,-79.739986,,,0,,,1
40750,3258,Mountainash Rd opp Ice Fields Rd,,43.766149,-79.737163,,,0,,,1
40770,3260,Mountainash Rd n/of Sandalwood Pky,,43.766883,-79.737647,,,0,,,1
40780,3261,Mountainash Rd at Rockstep Crt,,43.769077,-79.739236,,,0,,,1
40860,3269,Heart Lake Rd n/of Birchcliffe Dr,,43.734679,-79.778737,,,0,,,1
40870,3270,Heart Lake Rd at Copperfield Rd,,43.731597,-79.774573,,,0,,,1
40880,3271,Sandalwood Pky E btwn Fernforest Dr and Pinecone W,,43.751102,-79.761828,,,0,,,1
40885,3272,Heart Lake Rd at Bovaird Dr,,43.722613,-79.771285,,,0,,,0
40890,3273,Van Kirk Dr n/of Sandalwood Pkwy,,43.709526,-79.810692,,,0,,,1
40900,3274,Creditview Rd n/of Buick Blvd,,43.692986,-79.841053,,,0,,,1
